ID,Horario da jogada,Nome do player,Tempo desde do último movimento do jogador,Duração da jogada,Grupo,Peça UID,Peça Cor,Casos ID,Tipo da jogada
1,2024-07-20 01:40:08.239757,dsa,0:00:09.774305,0:00:00,sem grupo,51,red,"{1, 9}",Jogada
2,2024-07-20 01:40:11.490882,da,0:00:13.025430,0:00:00,sem grupo,24,red,"{38, 1, 9}",Jogada
