ID,Horario da jogada,Nome do player,Tempo desde do último movimento do jogador,Duração da jogada,Grupo,Peça UID,Peça Cor,Casos ID,Tipo da jogada
1,16:40:19,ads,1.70s,0.28s,sem grupo,51,red,"{1, 9}",Jogada
2,16:40:20,ads,1.00s,0.64s,sem grupo,3,light_blue,"{1, 9}",Jogada
3,16:40:22,ads,1.62s,0.87s,sem grupo,5,light_blue,"{1, 9}",Jogada
4,16:40:24,ads,1.66s,0.87s,sem grupo,6,black,"{1, 9}",Jogada
5,16:40:25,ads,0.92s,0.39s,grupo: 3 ads,3,light_blue,"{9, 2, 12, 17}",Jogada
6,16:40:26,ads,N/A,-8.11s,N/A,N/A,N/A,"{32, 33}",Finalizacao
