ID,Horario da jogada,Nome do player,Tempo desde do último movimento do jogador,Duração da jogada,Grupo,Peça UID,Peça Cor,Casos ID,Tipo da jogada
1,02:17:44,Joao,2.57s,1.10s,sem grupo,8,green,"{1, 9}",Jogada
2,02:17:47,Joao,3.23s,1.02s,grupo: 3 Joao,3,light_blue,"{9, 2, 12}",Jogada
3,02:17:49,Joao,2.11s,0.79s,grupo: 3 Joao,11,pink,"{9, 3, 13}",Jogada
4,02:17:51,Joao,1.29s,0.57s,grupo: 3 Joao,6,black,"{9, 3, 13}",Jogada
5,02:17:52,Joao,1.61s,0.81s,grupo: 3 Joao,12,green,"{9, 3, 13}",Jogada
6,02:17:54,Joao,1.64s,0.76s,grupo: 3 Joao,51,red,"{9, 3, 13}",Jogada
7,02:17:57,Joao,3.36s,0.98s,sem grupo,8,green,"{1, 19, 9, 17}",Jogada
8,02:18:07,Joao,9.61s,1.39s,grupo: 36 Joao,36,light_blue,"{9, 2, 12, 21}",Jogada
9,02:18:09,Joao,1.94s,1.06s,grupo: 36 Joao,311,red,"{9, 21, 3, 13}",Jogada
10,02:18:13,Pamela,31.67s,1.06s,grupo: 36 Joao,344,brown,"{3, 38, 9, 13, 25}",Jogada
11,02:18:15,Pamela,1.62s,1.08s,sem grupo,311,red,"{16, 1, 9}",Jogada
12,02:18:17,Pamela,1.90s,1.03s,grupo: 36 Pamela,36,light_blue,"{9, 2, 12, 15}",Jogada
13,02:18:19,Pamela,N/A,-37.36s,N/A,N/A,N/A,"{32, 33}",Finalizacao
14,02:18:21,Joao,N/A,-39.92s,N/A,N/A,N/A,"{32, 33, 34, 6, 27}",Finalizacao
